keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
'Serbien und Montenegro',de,Serbia and Montenegro,#74c5ef,#74c5ef,2,0.100092343138,EUROPE-AFRICA,4032571-4,8505033,44.817400000000,20.463410000000,A,Serbia,MED
'Belgrad',de,Serbia and Montenegro,#74c5ef,#74c5ef,2,0.100092343138,EUROPE-AFRICA,4005411-1,792680,44.804010000000,20.465130000000,P,Serbia,MED
'Port-au-Prince',de,Haiti,#62e93f,#62e93f,2,0.100089902380,CENTRAL-AMERICA,4116064-2,3718426,18.543490000000,-72.338810000000,P,Haiti,CAR
'Burundi',de,Burundi,#187bde,#187bde,2,0.100089482432,AFRICA,4009181-8,433561,-3.500000000000,30.000000000000,A,Burundi,SEAF
'Gitega',de,Burundi,#187bde,#187bde,2,0.100089482432,AFRICA,4806037-9,426272,-3.427080000000,29.924630000000,P,Burundi,SEAF
'Havanna',de,Cuba,#85ea48,#85ea48,2,0.100088197903,CENTRAL-AMERICA,4023865-9,3553478,23.133020000000,-82.383040000000,P,Cuba,CAR
'Brüssel',de,Belgium,#81e8f1,#81e8f1,2,0.100087549820,EUROPE,4008460-7,2800866,50.850450000000,4.348780000000,P,Belgium,WCE
'Benin',de,Benin,#2ce0e7,#2ce0e7,2,0.100087069728,AFRICA,4005503-6,2395170,9.500000000000,2.250000000000,A,Benin,WAF
'Porto-Novo',de,Benin,#26dee6,#26dee6,2,0.100087069728,AFRICA,4116069-1,2392087,6.496460000000,2.603590000000,P,Benin,WAF
'Tunesien',de,Tunisia,#5ed7ed,#5ed7ed,2,0.100086466266,EUROPE-AFRICA,4061206-5,2464461,34.000000000000,9.000000000000,A,Tunisia,MED
'Tunis',de,Tunisia,#5ed7ed,#5ed7ed,2,0.100086466266,EUROPE-AFRICA,4061206-5,2464461,34.000000000000,9.000000000000,A,Tunisia,MED
'Ruanda',de,Rwanda,#197de1,#197de1,2,0.100081287999,AFRICA,4076910-0,49518,-2.000000000000,30.000000000000,A,Rwanda,SEAF
'Kigali',de,Rwanda,#197de1,#197de1,2,0.100081287999,AFRICA,4495092-5,202061,-1.949950000000,30.058850000000,P,Rwanda,SEAF
'Guinea',de,Guinea,#2fe7c7,#2fe7c7,2,0.100080552150,AFRICA,4022520-3,2420477,10.833330000000,-10.666670000000,A,Guinea,WAF
'Conakry',de,Guinea,#2ce7bd,#2ce7bd,2,0.100080552150,AFRICA,4598760-9,2422465,9.537950000000,-13.677290000000,P,Guinea,WAF
'Mogadischu',de,Somalia,#1d4ee5,#1d4ee5,2,0.100066630446,AFRICA,4210605-9,53654,2.037110000000,45.343750000000,P,Somalia,SEAF
'Somalia',de,Somalia,#254ce6,#254ce6,2,0.100066630446,AFRICA,4077509-4,51537,6.000000000000,48.000000000000,A,Somalia,NEAF
'N'Djamena',de,Chad,#32bae8,#32bae8,2,0.100064608870,AFRICA,4458502-0,2427123,12.106720000000,15.044400000000,P,Chad,CAF
'Tschad',de,Chad,#38b0e8,#38b0e8,2,0.100064608870,AFRICA,4061074-3,2434508,15.000000000000,19.000000000000,A,Chad,SAH
'Senegal',de,Senegal,#37e8be,#37e8be,2,0.100063074132,AFRICA,4054529-5,2245662,14.500000000000,-14.250000000000,A,Senegal,WAF
'Dakar',de,Senegal,#37e8b5,#37e8b5,2,0.100063074132,AFRICA,4010921-5,2253354,14.693700000000,-17.444060000000,P,Senegal,WAF
'Phnom Penh',de,Cambodia,#ba31e8,#ba31e8,2,0.100061539227,ASIA,4045819-2,1821306,11.562450000000,104.916010000000,P,Cambodia,SEA
'Kambodscha',de,Cambodia,#bb34e8,#bb34e8,2,0.100061539227,ASIA,4029400-6,1831722,13.000000000000,105.000000000000,A,Cambodia,SEA
'Harare',de,Zimbabwe,#1568c1,#1568c1,2,0.100059282414,AFRICA,1029061-8,890299,-17.827720000000,31.053370000000,P,Zimbabwe,ESAF
'Simbabwe',de,Zimbabwe,#156abe,#156abe,2,0.100059282414,AFRICA,4049850-5,878675,-19.000000000000,29.750000000000,A,Zimbabwe,ESAF
'Damaskus',de,Syria,#5d96ed,#5d96ed,2,0.100059149607,EUROPE-AFRICA,4010956-2,170654,33.510200000000,36.291280000000,P,Syria,MED
'Quito',de,Ecuador,#58e519,#58e519,2,0.100058533078,SOUTH-AMERICA,4116883-5,3652462,-0.229850000000,-78.524950000000,P,Ecuador,NWS
'Ecuador',de,Ecuador,#56e219,#56e219,2,0.100058533078,SOUTH-AMERICA,4129321-6,3658394,-1.250000000000,-78.250000000000,A,Ecuador,NWS
'Amsterdam',de,The Netherlands,#84e8f1,#84e8f1,2,0.100058034880,EUROPE,4001783-7,2759794,52.374030000000,4.889690000000,P,The Netherlands,NEU
'Die Niederlande',de,The Netherlands,#84e8f1,#84e8f1,2,0.100058034880,EUROPE,4395945-3,2753842,52.414880000000,5.026490000000,H,The Netherlands,NEU
'Guatemala',de,Guatemala,#91e939,#91e939,2,0.100057978385,CENTRAL-AMERICA,4022428-4,3595528,15.500000000000,-90.250000000000,A,Guatemala,SCA
'Guatemala-Stadt',de,Guatemala,#91e837,#91e837,2,0.100057978385,CENTRAL-AMERICA,4022429-6,3598132,14.640720000000,-90.513270000000,P,Guatemala,SCA
'Sambia',de,Zambia,#1673c8,#1673c8,2,0.100057630836,AFRICA,4076986-0,895949,-14.333330000000,28.500000000000,A,Zambia,ESAF
